Entidade,Código,Ano,Conversão_líquida_de_floresta
Algeria,DZA,1990,-8800.0
Algeria,DZA,2000,33900.0
Algeria,DZA,2010,7600.0
Algeria,DZA,2015,-1400.0000000000005
Argentina,ARG,1990,-182600.0
Argentina,ARG,2000,-316400.0
Argentina,ARG,2010,-223400.0
Argentina,ARG,2015,-104800.0
Aruba,ABW,1990,0.0
Aruba,ABW,2000,0.0
Aruba,ABW,2010,0.0
Aruba,ABW,2015,0.0
Australia,AUS,1990,-206810.0000000001
Australia,AUS,2000,-226800.0
Australia,AUS,2010,709680.0000000002
Austria,AUT,1990,6249.999999999999
Austria,AUT,2000,2510.0000000000005
Austria,AUT,2010,3600.0000000000005
Austria,AUT,2015,3590.000000000001
Azerbaijan,AZE,2010,9079.999999999998
Azerbaijan,AZE,2015,14159.999999999996
Bahrain,BHR,1990,10.0
Bahrain,BHR,2000,10.0
Bahrain,BHR,2010,20.0
Bahrain,BHR,2015,20.0
Bangladesh,BGD,1990,0.0
Bangladesh,BGD,2000,-3200.0
Bangladesh,BGD,2010,-990.000000000002
Bangladesh,BGD,2015,0.0
Belarus,BLR,2000,26110.000000000007
Belarus,BLR,2010,19900.0
Belarus,BLR,2015,26820.0
Belgium,BEL,2010,-110.0000000000001
Belgium,BEL,2015,0.0
Belize,BLZ,1990,-14070.0
Belize,BLZ,2000,-6790.0
Belize,BLZ,2010,-11710.0
Belize,BLZ,2015,-11160.0
Bhutan,BTN,1990,9930.0
Bhutan,BTN,2000,9930.0
Bhutan,BTN,2010,1980.0
Bhutan,BTN,2015,1980.0
Bolivia,BOL,1990,-270330.0
Bolivia,BOL,2000,-201540.0
Bolivia,BOL,2010,-211760.0
Bolivia,BOL,2015,-238690.0
Brazil,BRA,1990,-3780940.0
Brazil,BRA,2000,-3950790.0
Brazil,BRA,2010,-1539179.9999999995
Brazil,BRA,2015,-1453040.0
Bulgaria,BGR,1990,4800.0
Bulgaria,BGR,2000,36200.0
Bulgaria,BGR,2010,19200.0
Bulgaria,BGR,2015,12000.0
Burundi,BDI,1990,-8250.0
Burundi,BDI,2000,0.0
Burundi,BDI,2010,17140.0
Burundi,BDI,2015,0.0
Cameroon,CMR,1990,-90250.0
Cameroon,CMR,2000,-69700.0
Cameroon,CMR,2010,-56000.0
Cameroon,CMR,2015,-56000.0
Canada,CAN,1990,-47100.0
Canada,CAN,2000,-47980.0
Canada,CAN,2010,-41300.0
Canada,CAN,2015,-37520.0
Cape Verde,CPV,2000,300.00000000000034
Cape Verde,CPV,2010,300.00000000000034
Cape Verde,CPV,2015,300.00000000000017
Cayman Islands,CYM,1990,-20.0
Cayman Islands,CYM,2000,-20.0
Cayman Islands,CYM,2010,0.0
Cayman Islands,CYM,2015,0.0
Central African Republic,CAF,1990,-30000.0
Central African Republic,CAF,2000,-30000.0
Central African Republic,CAF,2010,-30000.0
Central African Republic,CAF,2015,-30000.0
Chile,CHL,1990,57100.0
Chile,CHL,2000,90820.0
Chile,CHL,2010,174160.0
Chile,CHL,2015,122920.0
China,CHN,1990,1986000.0
China,CHN,2000,2360980.0
China,CHN,2010,1936770.0
China,CHN,2015,1936790.0
Colombia,COL,1990,-222260.0
Colombia,COL,2000,-192770.0
Colombia,COL,2010,-134630.0
Colombia,COL,2015,-198550.0
Congo,COG,1990,-12000.0
Congo,COG,2000,-12000.0
Congo,COG,2010,-12000.0
Congo,COG,2015,-13800.0
Costa Rica,CRI,1990,-5020.0
Costa Rica,CRI,2000,1400.0
Costa Rica,CRI,2010,16370.000000000002
Costa Rica,CRI,2015,16370.000000000002
Croatia,HRV,2000,3500.0
Croatia,HRV,2010,400.0
Croatia,HRV,2015,3420.0000000000005
Cuba,CUB,1990,37700.0
Cuba,CUB,2000,49700.0
Cuba,CUB,2010,50400.0
Cuba,CUB,2015,11600.0
Denmark,DNK,1990,4020.0
Denmark,DNK,2000,1490.0
Denmark,DNK,2010,7640.000000000002
Denmark,DNK,2015,750.0000000000001
Djibouti,DJI,1990,0.0
Djibouti,DJI,2000,0.0
Djibouti,DJI,2010,0.0
Djibouti,DJI,2015,40.000000000000014
Dominican Republic,DOM,1990,37760.000000000015
Dominican Republic,DOM,2000,10070.0
